case,method,repeat,target_id,warmup,ordinal,process_complete,included_in_performance,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,real_records,PIR_calls,root_independently_verified,three_negatives_independently_verified
prefix64_n10000,flat,0,8224,False,5,True,True,15.883437,0.022493,13.64398,0.029293,0.454905,0.023897,1.653032,0.035504,48756,49172,49504,49920,99092,11,17,True,True
prefix64_n10000,flat,0,320,False,6,True,True,13.310566,0.022412,11.604548,0.031396,0.456432,0.044384,1.126275,0.016402,48756,49172,49504,49920,99092,14,17,True,True
prefix64_n10000,flat,0,4684,False,7,True,True,16.682915,0.022318,15.072717,0.059595,0.434425,0.106452,0.965821,0.01569,48756,49172,49504,49920,99092,13,17,True,True
prefix64_n10000,flat,0,529,False,8,True,True,13.998133,0.018974,12.526433,0.039152,0.449901,0.028098,0.9149,0.015434,48756,49172,49504,49920,99092,13,17,True,True
prefix64_n10000,flat,0,3455,False,9,True,True,13.558495,0.019535,12.087974,0.041719,0.436916,0.032059,0.92124,0.013997,48756,49172,49504,49920,99092,12,17,True,True
prefix64_n10000,flat,0,9468,False,10,True,True,15.468552,0.021032,13.335651,0.046028,0.470327,0.027281,1.545331,0.015826,48756,49172,49504,49920,99092,15,17,True,True
prefix64_n10000,flat,0,1069,False,11,True,True,18.942647,0.021904,16.631176,0.050263,0.575531,0.095654,1.539149,0.022345,48756,49172,49504,49920,99092,14,17,True,True
prefix64_n10000,ab,0,3652,False,2,True,True,5.11385,0.021314,4.090658,0.009175,0.108923,0.008912,0.855414,0.016007,11628,12044,12376,12792,24836,12,17,True,True
prefix64_n10000,ab,0,3731,False,3,True,True,5.270921,0.020059,4.236625,0.009048,0.093938,0.016394,0.868946,0.014693,11628,12044,12376,12792,24836,14,17,True,True
prefix64_n10000,ab,0,1449,False,4,True,True,5.770382,0.031205,4.770737,0.011975,0.09575,0.008534,0.83105,0.015674,11628,12044,12376,12792,24836,14,17,True,True
prefix64_n10000,ab,0,8224,False,5,True,True,5.534126,0.022133,4.337687,0.008647,0.258998,0.008098,0.877309,0.016501,11628,12044,12376,12792,24836,11,17,True,True
prefix64_n10000,ab,0,320,False,6,True,True,5.221536,0.02146,4.176651,0.012291,0.095886,0.008245,0.886613,0.015317,11628,12044,12376,12792,24836,14,17,True,True
prefix64_n10000,ab,0,4684,False,7,True,True,5.606098,0.024554,4.590882,0.011526,0.097402,0.008895,0.852044,0.016384,11628,12044,12376,12792,24836,13,17,True,True
prefix64_n10000,ab,0,529,False,8,True,True,6.978083,0.022326,5.865213,0.013007,0.107335,0.028613,0.915948,0.019372,11628,12044,12376,12792,24836,13,17,True,True
prefix64_n10000,ab,0,3455,False,9,True,True,6.260835,0.059004,5.18492,0.0124,0.098593,0.009481,0.87445,0.015337,11628,12044,12376,12792,24836,12,17,True,True
prefix64_n10000,ab,0,9468,False,10,True,True,5.160538,0.023286,4.100638,0.009189,0.121459,0.009919,0.845362,0.015651,11628,12044,12376,12792,24836,15,17,True,True
prefix64_n10000,ab,0,1069,False,11,True,True,5.087758,0.023736,4.090825,0.009347,0.098844,0.007983,0.839146,0.014911,11628,12044,12376,12792,24836,14,17,True,True
uniform_n1000,first_fit,0,916,False,2,True,True,3.198728,0.017334,2.646398,0.005474,0.043363,0.005738,0.464266,0.013523,6084,6404,6760,7080,13484,11,13,True,True
