key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0xb3314456567986e657d4c65ec9e8cb736b92d11d:SMT_KEY:0,0xb3314456567986e657d4c65ec9e8cb736b92d11d,0,balance,31896867
polygon-zkevm:0xb3314456567986e657d4c65ec9e8cb736b92d11d:SMT_KEY:1,0xb3314456567986e657d4c65ec9e8cb736b92d11d,1,nonce,31896867
polygon-zkevm:0xb3314456567986e657d4c65ec9e8cb736b92d11d:SMT_KEY:2,0xb3314456567986e657d4c65ec9e8cb736b92d11d,2,code_hash,31896867
polygon-zkevm:0xb3314456567986e657d4c65ec9e8cb736b92d11d:SMT_KEY:4,0xb3314456567986e657d4c65ec9e8cb736b92d11d,4,code_hash_length,31896867
polygon-zkevm:0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945:SMT_KEY:0,0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945,0,balance,31896879
polygon-zkevm:0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945:SMT_KEY:1,0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945,1,nonce,31896879
polygon-zkevm:0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945:SMT_KEY:2,0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945,2,code_hash,31896879
polygon-zkevm:0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945:SMT_KEY:4,0x18d7c61826cdadc62bdfcef401d0cd5c69f3e945,4,code_hash_length,31896879
polygon-zkevm:0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76:SMT_KEY:0,0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76,0,balance,31896908
polygon-zkevm:0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76:SMT_KEY:1,0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76,1,nonce,31896908
polygon-zkevm:0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76:SMT_KEY:2,0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76,2,code_hash,31896908
polygon-zkevm:0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76:SMT_KEY:4,0x7d4238e3b2dda63a10c49b26a82f4a4ba76d6f76,4,code_hash_length,31896908
polygon-zkevm:0x37e4d7a8801319117f9b0a92fb3419d22092144c:SMT_KEY:0,0x37e4d7a8801319117f9b0a92fb3419d22092144c,0,balance,31897085
