key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf:SMT_KEY:2,0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf,2,code_hash,22049260
polygon-zkevm:0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf:SMT_KEY:4,0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf,4,code_hash_length,22049260
polygon-zkevm:0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e:SMT_KEY:0,0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e,0,balance,22049450
polygon-zkevm:0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e:SMT_KEY:1,0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e,1,nonce,22049450
polygon-zkevm:0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e:SMT_KEY:2,0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e,2,code_hash,22049450
polygon-zkevm:0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e:SMT_KEY:4,0x31b28e8a575bd07b53c51d0a7dc38c9dc47b7d9e,4,code_hash_length,22049450
polygon-zkevm:0x07a009e9e98649bff954cf3032ceb3e21e020f49:SMT_KEY:0,0x07a009e9e98649bff954cf3032ceb3e21e020f49,0,balance,22049835
polygon-zkevm:0x07a009e9e98649bff954cf3032ceb3e21e020f49:SMT_KEY:1,0x07a009e9e98649bff954cf3032ceb3e21e020f49,1,nonce,22049835
polygon-zkevm:0x07a009e9e98649bff954cf3032ceb3e21e020f49:SMT_KEY:2,0x07a009e9e98649bff954cf3032ceb3e21e020f49,2,code_hash,22049835
polygon-zkevm:0x07a009e9e98649bff954cf3032ceb3e21e020f49:SMT_KEY:4,0x07a009e9e98649bff954cf3032ceb3e21e020f49,4,code_hash_length,22049835
polygon-zkevm:0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035:SMT_KEY:0,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,0,balance,22049835
polygon-zkevm:0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035:SMT_KEY:1,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,1,nonce,22049835
polygon-zkevm:0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035:SMT_KEY:2,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,2,code_hash,22049835
