key,address,leaf_type,first_seen_block
zksync-era:0x2aee50e2c43845e038642de2a3bedc234ea8823a:account_leaf:nonce,0x2aee50e2c43845e038642de2a3bedc234ea8823a,nonce,70087462
zksync-era:0x2aee50e2c43845e038642de2a3bedc234ea8823a:account_leaf:code,0x2aee50e2c43845e038642de2a3bedc234ea8823a,code,70087462
zksync-era:0x2aee50e2c43845e038642de2a3bedc234ea8823a:account_leaf:storage_root,0x2aee50e2c43845e038642de2a3bedc234ea8823a,storage_root,70087462
zksync-era:0x562323f3471514cbc5ece6ff8904214815ac4b46:account_leaf:balance,0x562323f3471514cbc5ece6ff8904214815ac4b46,balance,70087662
zksync-era:0x562323f3471514cbc5ece6ff8904214815ac4b46:account_leaf:nonce,0x562323f3471514cbc5ece6ff8904214815ac4b46,nonce,70087662
zksync-era:0x562323f3471514cbc5ece6ff8904214815ac4b46:account_leaf:code,0x562323f3471514cbc5ece6ff8904214815ac4b46,code,70087662
zksync-era:0x562323f3471514cbc5ece6ff8904214815ac4b46:account_leaf:storage_root,0x562323f3471514cbc5ece6ff8904214815ac4b46,storage_root,70087662
zksync-era:0x02e5be68d46dac0b524905bff209cf47ee6db2a9:account_leaf:balance,0x02e5be68d46dac0b524905bff209cf47ee6db2a9,balance,70087662
zksync-era:0x02e5be68d46dac0b524905bff209cf47ee6db2a9:account_leaf:nonce,0x02e5be68d46dac0b524905bff209cf47ee6db2a9,nonce,70087662
zksync-era:0x02e5be68d46dac0b524905bff209cf47ee6db2a9:account_leaf:code,0x02e5be68d46dac0b524905bff209cf47ee6db2a9,code,70087662
zksync-era:0x02e5be68d46dac0b524905bff209cf47ee6db2a9:account_leaf:storage_root,0x02e5be68d46dac0b524905bff209cf47ee6db2a9,storage_root,70087662
zksync-era:0x934939599310a84dd724d65af4d4c8a286e568b0:account_leaf:balance,0x934939599310a84dd724d65af4d4c8a286e568b0,balance,70088062
zksync-era:0x934939599310a84dd724d65af4d4c8a286e568b0:account_leaf:nonce,0x934939599310a84dd724d65af4d4c8a286e568b0,nonce,70088062
zksync-era:0x934939599310a84dd724d65af4d4c8a286e568b0:account_leaf:code,0x934939599310a84dd724d65af4d4c8a286e568b0,code,70088062
zksync-era:0x934939599310a84dd724d65af4d4c8a286e568b0:account_leaf:storage_root,0x934939599310a84dd724d65af4d4c8a286e568b0,storage_root,70088062
zksync-era:0xf70da97812cb96acdf810712aa562db8dfa3dbef:account_leaf:balance,0xf70da97812cb96acdf810712aa562db8dfa3dbef,balance,70088262
zksync-era:0xf70da97812cb96acdf810712aa562db8dfa3dbef:account_leaf:nonce,0xf70da97812cb96acdf810712aa562db8dfa3dbef,nonce,70088262
zksync-era:0xf70da97812cb96acdf810712aa562db8dfa3dbef:account_leaf:code,0xf70da97812cb96acdf810712aa562db8dfa3dbef,code,70088262
zksync-era:0xf70da97812cb96acdf810712aa562db8dfa3dbef:account_leaf:storage_root,0xf70da97812cb96acdf810712aa562db8dfa3dbef,storage_root,70088262
zksync-era:0xe09348c518c51671a54fce1f16a1d55ede6c7c58:account_leaf:balance,0xe09348c518c51671a54fce1f16a1d55ede6c7c58,balance,70088262
