dataset,height,method,repeat,n,N,m,logical_queries,chunk_queries,max_bucket,proofs_verified,online_bytes,processing_mean_ms,processing_p50_ms,processing_p95_ms,query_mean_ms,answer_mean_ms,decode_mean_ms,verify_mean_ms,setup_api_ms,setup_total_wall_ms,offline_hint_bytes,client_metadata_bytes,directory_plus_hint_bytes,public_shared_state_bytes,server_payload_bytes,full_cache_bootstrap_bytes,client_directory_parse_ms,runner_peak_rss_bytes
ZKsync sample,128,activebalance,1,956,1910,13,13,104,147,100,21216,9.899636159999616,9.45009399999979,13.01594535000322,8.95428675,0.05555919,0.78912196,0.05067391999943993,7.611388000000001,236.476816,10223616,61258,10284874,10649600,61120,122282,7.070415000001162,62607360
ZKsync sample,128,flat_active,1,956,1910,13,13,104,1910,100,72800,16.684038310000144,16.152143000002,19.89732509999219,15.056209370000001,0.14195674,1.35752111,0.07253466000008757,5.189387,57.027656,2883584,61162,2944746,2850816,61120,122282,12.904034999991154,21848064
ZKsync sample,128,nonempty_depth,1,956,1910,13,19,152,370,100,20448,12.901062789999687,12.495811499996487,16.43870169999922,11.89181604,0.07130658000000001,0.80783633,0.07034201999985612,8.429712999999992,254.697828,10616832,61306,10678138,9535488,61120,122282,10.351348000000371,62844928
ZKsync sample,128,activebalance,2,956,1910,13,13,104,147,100,21216,10.439971690000798,10.260856999995692,13.43499120000113,9.49174808,0.05294864,0.7598031199999999,0.08543839000012099,8.474925,251.044462,10223616,61258,10284874,10649600,61120,122282,11.800928999988969,58208256
ZKsync sample,128,nonempty_depth,2,956,1910,13,19,152,370,100,20448,12.911667620000312,12.64145000000816,15.587900950001641,11.89611877,0.07482637,0.80267131,0.07799586999993835,7.949345000000002,264.071964,10616832,61306,10678138,9535488,61120,122282,14.204708000008281,64294912
ZKsync sample,128,first_fit,2,956,1910,13,13,104,556,100,16640,8.732936750001318,8.539005000003021,10.553069750002697,7.89950364,0.0652812,0.63345722,0.08399056000087057,7.477193999999998,197.946959,8388608,61258,8449866,8028160,61120,122282,11.871870999996759,51773440
ZKsync sample,128,pbc_routed,2,956,1910,13,20,160,316,100,44448,17.619566770000457,17.28428000000398,21.8984757500022,15.65791035,0.11387364999999999,1.67133487,0.05642386000005217,25.371942,483.457521,23199744,152994,23352738,21495808,183360,122282,18.53429000000517,112578560
ZKsync sample,128,hybrid,2,956,1910,13,13,104,180,100,20640,10.953068769999176,10.451236000001444,14.914774200006503,9.92142036,0.060657279999999994,0.83166882,0.08747620999969286,8.771053000000004,258.353752,10616832,61258,10678090,10125312,61120,122282,12.200823000000582,60772352
ZKsync sample,128,flat_active,2,956,1910,13,13,104,1910,100,72800,18.473320430000925,17.564402000010546,22.8558365999983,16.62470285,0.14982888,1.5408112,0.08897406000016872,4.990191,63.472205,2883584,61162,2944746,2850816,61120,122282,12.551694999999086,22368256
ZKsync sample,128,first_fit,3,956,1910,13,13,104,556,100,16640,10.855411949999658,10.380471999991489,14.918264599996737,9.95033052,0.06536547,0.69280824,0.10238593000011065,8.499674999999998,231.702613,8388608,61258,8449866,8028160,61120,122282,11.172375999990436,50733056
ZKsync sample,128,nonempty_depth,3,956,1910,13,19,152,370,100,20448,14.442692619999644,14.116872000003788,19.389696449997984,13.33595553,0.07752278,0.88222959,0.08154710999889403,8.243801999999997,267.534982,10616832,61306,10678138,9535488,61120,122282,13.439316000003032,62078976
ZKsync sample,128,pbc_routed,3,956,1910,13,20,160,316,100,44448,17.92289286999917,17.661024000005703,21.808295150015034,15.97018463,0.11640176,1.67463729,0.05958273999979724,24.019186999999995,528.014968,23199744,152994,23352738,21495808,183360,122282,17.26105999999561,113487872
ZKsync sample,128,activebalance,3,956,1910,13,13,104,147,100,21216,10.53767860000018,10.069971999992244,13.881716749999326,9.615257549999999,0.05624074,0.7438986,0.0709379200000626,9.165438000000002,277.019594,10223616,61258,10284874,10649600,61120,122282,18.16074399999934,62746624
ZKsync sample,128,flat_active,3,956,1910,13,13,104,1910,100,72800,17.01451762999844,16.34031099999702,21.372527450010082,15.378160059999999,0.13913326,1.3787441599999999,0.045826709999943205,5.180167,65.096458,2883584,61162,2944746,2850816,61120,122282,10.005526000000486,22335488
ZKsync sample,128,hybrid,3,956,1910,13,13,104,180,100,20640,10.85434277000019,10.364873500006471,14.540578149995278,9.880487619999998,0.06527587,0.78496588,0.07351644999999962,10.014651000000006,272.375761,10616832,61258,10678090,10125312,61120,122282,10.032410000007985,61227008
ZKsync sample,128,flat_active,4,956,1910,13,13,104,1910,100,72800,16.533772059998505,16.078065499998154,19.545580250023843,14.97369512,0.12649519,1.3149003799999999,0.058410419999006535,4.599181,56.512095,2883584,61162,2944746,2850816,61120,122282,12.751428999990821,21757952
ZKsync sample,128,pbc_routed,4,956,1910,13,20,160,316,100,44448,17.244724830000816,16.477696000017275,21.96868690002231,15.3661819,0.11244612999999999,1.6144011600000001,0.05346912000135262,25.450822,521.681751,23199744,152994,23352738,21495808,183360,122282,12.948276000003034,111579136
ZKsync sample,128,first_fit,4,956,1910,13,13,104,556,100,16640,8.897105970000128,8.698990000015593,11.129188950009413,8.1180279,0.06305439,0.61227552,0.06526102000066203,7.541551999999999,214.301106,8388608,61258,8449866,8028160,61120,122282,8.721486000013101,47411200
ZKsync sample,128,hybrid,4,956,1910,13,13,104,180,100,20640,11.053444160000339,10.805235499982548,14.982043800013404,10.09562008,0.05799068,0.78899877,0.057432539999808796,13.303296999999995,246.960378,10616832,61258,10678090,10125312,61120,122282,10.00618199998371,60899328
ZKsync sample,128,activebalance,4,956,1910,13,13,104,147,100,21216,10.97097390000082,10.787996999991073,14.300315850008403,10.04265943,0.05667125,0.7549628500000001,0.062062510000941984,7.615672999999998,228.879685,10223616,61258,10284874,10649600,61120,122282,13.324578999998948,60903424
ZKsync sample,128,nonempty_depth,4,956,1910,13,19,152,370,100,20448,12.299183959999544,11.99094699998384,15.253963599997613,11.28771048,0.07042738,0.83494835,0.051750729999753275,7.470634000000003,241.864211,10616832,61306,10678138,9535488,61120,122282,9.320931000019073,68636672
Polygon multi,128,first_fit,0,1348,2694,14,14,112,772,100,20064,9.684432609999952,9.392217999983558,11.852794699997531,8.75830079,0.07255117,0.7659952600000001,0.04273698000048398,11.000572999999997,236.307401,10223616,86354,10309970,9797632,86208,172458,9.641462000018919,63754240
Polygon multi,128,pbc_routed,0,1348,2694,14,21,168,417,100,53856,20.84896793000077,19.866523999994072,27.858973399998455,18.61489681,0.1390866,1.93915875,0.05132985999949824,30.530202000000006,590.314128,27525120,215722,27740842,26738688,258624,172458,10.395313000003625,129810432
Polygon multi,128,activebalance,0,1348,2694,14,14,112,193,100,25984,11.672360440000954,11.075919000006516,15.373127200029687,10.58475578,0.06418524,0.91870947,0.05320940000046903,10.266179000000003,285.092427,12845056,86354,12931410,12845056,86208,172458,12.276624000008951,69865472
Polygon multi,128,flat_active,0,1348,2694,14,14,112,2694,100,93632,21.72699809999963,20.288419500008445,28.828615100005234,19.43578357,0.19955441,1.9651478,0.06182049999949868,5.966147999999999,67.74831,3407872,86250,3494122,3407872,86208,172458,8.587245000001076,25026560
Polygon multi,128,nonempty_depth,0,1348,2694,14,19,152,530,100,24224,14.074987870002273,13.517116500014211,19.481733450004963,12.9178071,0.09270412,0.94848583,0.0567953700004864,12.936847999999998,329.092606,12320768,86394,12407162,11730944,86208,172458,9.181946999973434,67502080
Polygon multi,128,hybrid,0,1348,2694,14,14,112,236,100,25408,11.576337840002518,11.016575500006205,15.620165400006634,10.45040968,0.06530145,0.96202486,0.04625276000240319,10.576287,283.845469,13238272,86354,13324626,12255232,86208,172458,14.863181999999142,68063232
Polygon multi,128,flat_active,1,1348,2694,14,14,112,2694,100,93632,21.363902770000955,20.37956600000099,27.84902355000419,19.03663316,0.19990199,2.0095879,0.05334981000089556,6.195741,69.050121,3407872,86250,3494122,3407872,86208,172458,11.163467000017135,25542656
Polygon multi,128,pbc_routed,1,1348,2694,14,21,168,417,100,53856,20.91483129000147,20.80229449998903,25.92864254997115,18.633823489999997,0.14021042,1.95567887,0.06968318999923895,33.491493000000006,624.358432,27525120,215722,27740842,26738688,258624,172458,14.72907699999837,129486848
Polygon multi,128,nonempty_depth,1,1348,2694,14,19,152,530,100,24224,13.519527990000425,13.084196500009417,17.240306599992063,12.414489190000001,0.08405164999999999,0.90738274,0.05015068999966843,10.35472,288.605391,12320768,86394,12407162,11730944,86208,172458,34.39247399998635,70107136
