id,source_index,n,N,m,B_joint,OPT,original_AB,pair_union,three_color,three_then_four,original_AB_coloring_seconds,pair_additional_seconds,three_additional_seconds,four_additional_seconds,final_stop
S0711,711,13,24,6,4,4,5,5,4,4,0.0007213999051600695,0.00025050004478543997,0.004498600028455257,7.5999414548277855e-06,capacity_certificate
S0712,712,13,24,6,4,4,5,5,4,4,0.001016800059005618,0.00030619988683611155,0.005678000045008957,8.199946023523808e-06,capacity_certificate
S0713,713,13,24,6,4,4,5,5,4,4,0.0009250999428331852,0.00025310006458312273,0.005103199975565076,6.3999323174357414e-06,capacity_certificate
S0714,714,13,24,5,5,5,5,5,5,5,0.0007373999105766416,9.200070053339005e-06,5.599926225841045e-06,4.700035788118839e-06,capacity_certificate
S0715,715,13,24,6,4,4,5,5,4,4,0.0009719999507069588,0.000282099936157465,0.005152600002475083,7.400056347250938e-06,capacity_certificate
S0716,716,13,24,6,4,4,5,5,4,4,0.001231999951414764,0.0002767000114545226,0.004148800042457879,6.6999346017837524e-06,capacity_certificate
S0717,717,13,24,6,4,4,5,5,4,4,0.0011880999663844705,0.0002723999787122011,0.004590500029735267,7.00005330145359e-06,capacity_certificate
S0718,718,13,24,5,5,5,5,5,5,5,0.0009678000351414084,9.00006853044033e-06,5.399924702942371e-06,4.700035788118839e-06,capacity_certificate
S0719,719,13,24,5,5,5,5,5,5,5,0.0008565000025555491,6.400048732757568e-06,4.700035788118839e-06,3.999914042651653e-06,capacity_certificate
S0720,720,13,24,6,4,4,5,5,4,4,0.0007943999953567982,0.00022169994190335274,0.004489999962970614,6.200047209858894e-06,capacity_certificate
S0721,721,13,24,5,5,5,5,5,5,5,0.0012432999210432172,1.2499978765845299e-05,7.0999376475811005e-06,5.500041879713535e-06,capacity_certificate
S0722,722,13,24,5,5,5,5,5,5,5,0.001316900015808642,1.2699980288743973e-05,6.300047971308231e-06,4.600035026669502e-06,capacity_certificate
